Iteration,Error_1,Error_2,Error_3,Error_Mean,Loss_1,Loss_2,Loss_3,Loss_Mean,Score,Features_n,Alpha,Lambda,Lambda_bias,Coef1_1,Coef2_1,Coef3_1,Coef4_1,Rési1_1,Rési2_1,Rési3_1,Rési4_1,Coef1_2,Coef2_2,Coef3_2,Coef4_2,Rési1_2,Rési2_2,Rési3_2,Rési4_2,Coef1_3,Coef2_3,Coef3_3,Coef4_3,Rési1_3,Rési2_3,Rési3_3,Rési4_3,Coef1_4,Coef2_4,Coef3_4,Coef4_4,Rési1_4,Rési2_4,Rési3_4,Rési4_4,PosInitiale_1,PosInitiale_2,PosInitiale_3,PosInitiale_4,Logging
31,0.538462,0.386792,0.451923,0.459059,1.636865,1.201373,1.277553,1.37193033333333,0.629796966889667,19,2.48827425685469,0.875565013579444,1.2661373616721,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1
32,0.480769,0.443396,0.471154,0.465106333333333,1.310238,1.209178,1.24313,1.254182,0.583327991352667,7,0.337318048850263,2.46674459318725,0.623297281416372,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1
33,0.653846,0.716981,0.769231,0.713352666666667,1.751999,1.683637,1.770692,1.73544266666667,1.23798265411378,6,1.35877423449737,2.95642526324584,0.204660882744628,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,0.538462,0.424528,0.451923,0.471637666666667,1.389137,1.370032,1.201739,1.32030266666667,0.622704469000444,13,0.805153615807169,0.730958987697495,0.945122526288421,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
35,0.346154,0.462264,0.605769,0.471395666666667,1.196512,1.312938,1.389812,1.299754,0.612698403332667,11,1.49664042371994,0.604297077495696,1.61824329356625,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1
36,0.5,0.481132,0.480769,0.487300333333333,1.291171,1.274165,1.328205,1.297847,0.632441275715667,11,1.4849127881662,1.09739665458942,0.827376497354143,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1
37,0.557692,0.424528,0.509615,0.497278333333333,1.502132,1.382603,1.324475,1.40307,0.69771631115,10,1.83358903485805,0.202723904639145,0.988954521534336,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1
38,0.576923,0.5,0.471154,0.516025666666667,1.477217,1.533898,1.467313,1.49280933333333,0.770327931439556,10,2.29387996791096,1.30830874866913,0.884174677843046,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
39,0.346154,0.386792,0.423077,0.385341,1.131884,1.090981,1.442808,1.221891,0.470844699831,8,0.863448979152584,1.34479512366302,0.185031291130083,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
40,0.576923,0.5,0.596154,0.557692333333333,1.711425,1.502089,1.665238,1.62625066666667,0.906947528878222,12,0.559861311865061,2.5396480875188,1.24226348085969,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1
41,0.576923,0.613208,0.538462,0.576197666666667,1.697144,1.515968,1.439734,1.55094866666667,0.893653002853111,11,0.762346930477346,1.94838935074207,1.36594112304922,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
